0 [4.00e-02, 5.10e+01]
600 [8.55e-03, 5.03e+01]
1200 [3.08e-02, 4.88e+01]
1800 [4.66e-02, 4.77e+01]
2400 [5.06e-02, 4.71e+01]
3000 [5.17e-02, 4.68e+01]
3600 [5.06e-02, 4.67e+01]
4200 [4.89e-02, 4.67e+01]
4800 [4.88e-02, 4.67e+01]
5400 [4.90e-02, 4.67e+01]
6000 [4.94e-02, 4.67e+01]
6600 [4.90e-02, 4.67e+01]
7200 [4.90e-02, 4.67e+01]
7800 [4.90e-02, 4.67e+01]
8400 [4.90e-02, 4.67e+01]
9000 [4.90e-02, 4.67e+01]
9600 [4.90e-02, 4.67e+01]
10200 [4.90e-02, 4.67e+01]
10800 [4.90e-02, 4.67e+01]
11400 [4.91e-02, 4.67e+01]
12000 [4.91e-02, 4.67e+01]
12600 [4.91e-02, 4.67e+01]
13200 [4.94e-02, 4.67e+01]
13800 [4.92e-02, 4.67e+01]
14400 [4.93e-02, 4.67e+01]
15000 [4.93e-02, 4.67e+01]
15600 [4.92e-02, 4.67e+01]
16200 [4.92e-02, 4.67e+01]
16800 [4.92e-02, 4.67e+01]
17400 [4.92e-02, 4.67e+01]
18000 [4.92e-02, 4.67e+01]
18600 [4.92e-02, 4.67e+01]
19200 [4.92e-02, 4.67e+01]
19800 [4.91e-02, 4.67e+01]
20000 [4.92e-02, 4.67e+01]
